"m" "a" "sigma_1" "d1" "d2" "d3" "ARL_1R" "ARL_1s"
5 0.0027 2.4 2.326 0.864 0.939985602986625 39.5086 41.3663
10 0.0027 2.4 3.078 0.797 0.972659274121588 28.2947 28.30135
20 0.0027 2.4 3.735 0.729 0.986934267524655 19.2614 15.4463
5 0.001 2.4 2.326 0.864 0.939985602986625 64.02195 71.68635
10 0.001 2.4 3.078 0.797 0.972659274121588 52.686 52.8517
20 0.001 2.4 3.735 0.729 0.986934267524655 27.92185 25.334
5 0.005 2.4 2.326 0.864 0.939985602986625 30.7951 31.16605
10 0.005 2.4 3.078 0.797 0.972659274121588 20.85915 20.81905
20 0.005 2.4 3.735 0.729 0.986934267524655 15.1479 12.1303
5 0.0027 3 2.326 0.864 0.939985602986625 9.0504 8.5535
10 0.0027 3 3.078 0.797 0.972659274121588 4.8152 4.06895
20 0.0027 3 3.735 0.729 0.986934267524655 2.9014 2.0744
5 0.001 3 2.326 0.864 0.939985602986625 9.95695 9.82465
10 0.001 3 3.078 0.797 0.972659274121588 6.4611 5.50005
20 0.001 3 3.735 0.729 0.986934267524655 3.80185 2.48465
5 0.005 3 2.326 0.864 0.939985602986625 6.42735 6.33715
10 0.005 3 3.078 0.797 0.972659274121588 4.11665 3.5067
20 0.005 3 3.735 0.729 0.986934267524655 2.46525 1.82115
5 0.0027 4 2.326 0.864 0.939985602986625 2.56855 2.4843
10 0.0027 4 3.078 0.797 0.972659274121588 1.5777 1.425
20 0.0027 4 3.735 0.729 0.986934267524655 1.17665 1.0606
5 0.001 4 2.326 0.864 0.939985602986625 2.9999 2.851
10 0.001 4 3.078 0.797 0.972659274121588 1.7476 1.5268
20 0.001 4 3.735 0.729 0.986934267524655 1.2381 1.0888
5 0.005 4 2.326 0.864 0.939985602986625 2.4097 2.3082
10 0.005 4 3.078 0.797 0.972659274121588 1.50085 1.3595
20 0.005 4 3.735 0.729 0.986934267524655 1.1257 1.04475
5 0.0027 6 2.326 0.864 0.939985602986625 1.29835 1.27535
10 0.0027 6 3.078 0.797 0.972659274121588 1.04945 1.03015
20 0.0027 6 3.735 0.729 0.986934267524655 1.0024 1.0006
5 0.001 6 2.326 0.864 0.939985602986625 1.36385 1.34415
10 0.001 6 3.078 0.797 0.972659274121588 1.0644 1.04025
20 0.001 6 3.735 0.729 0.986934267524655 1.00355 1.0004
5 0.005 6 2.326 0.864 0.939985602986625 1.284 1.26085
10 0.005 6 3.078 0.797 0.972659274121588 1.04135 1.0251
20 0.005 6 3.735 0.729 0.986934267524655 1.001 1.00025
